Meter,Clock (8:0-0:1.0.0*255:2),Active Energy Import (3:1-0:1.8.0*255:2),Active Energy Export (3:1-0:2.8.0*255:2),TransFullCoef
13836498,05.06.2025 06:15:00,6542596,469,1
13836498,05.06.2025 06:30:00,6542660,469,1
13836498,05.06.2025 06:45:00,6542731,469,1
13836498,05.06.2025 07:00:00,6542805,469,1
13836498,05.06.2025 07:15:00,6542880,469,1
13836498,05.06.2025 07:30:00,6542962,469,1
13836498,05.06.2025 07:45:00,6543048,469,1
13836498,05.06.2025 08:00:00,6543149,469,1
13836498,05.06.2025 08:15:00,6543256,469,1
13836498,05.06.2025 08:30:00,6543371,469,1
13836498,05.06.2025 08:45:00,6543491,469,1
13836498,05.06.2025 09:00:00,6543608,469,1
13836498,05.06.2025 09:15:00,6543730,469,1
13836498,05.06.2025 09:30:00,6543857,469,1
13836498,05.06.2025 09:45:00,6543978,469,1
13836498,05.06.2025 10:00:00,6544100,469,1
13836498,05.06.2025 10:15:00,6544224,469,1
13836498,05.06.2025 10:30:00,6544350,469,1
13836498,05.06.2025 10:45:00,6544476,469,1
13836498,05.06.2025 11:00:00,6544606,469,1
13836498,05.06.2025 11:15:00,6544734,469,1
13836498,05.06.2025 11:30:00,6544879,469,1
13836498,05.06.2025 11:45:00,6545034,469,1
13836498,05.06.2025 12:00:00,6545188,469,1
14101611,05.06.2025 06:30:00,4869295,456,1
14101611,05.06.2025 06:45:00,4869393,456,1
14101611,05.06.2025 07:00:00,4869497,456,1
14101611,05.06.2025 07:15:00,4869592,456,1
14101611,05.06.2025 07:30:00,4869689,456,1
14101611,05.06.2025 07:45:00,4869788,456,1
14101611,05.06.2025 08:00:00,4869879,456,1
14101611,05.06.2025 08:15:00,4869962,456,1
14101611,05.06.2025 08:30:00,4870043,456,1
14101611,05.06.2025 08:45:00,4870114,456,1
14101611,05.06.2025 09:00:00,4870188,456,1
14101611,05.06.2025 09:15:00,4870258,456,1
14101611,05.06.2025 09:30:00,4870325,456,1
14101611,05.06.2025 09:45:00,4870394,456,1
14101611,05.06.2025 10:00:00,4870462,456,1
14101611,05.06.2025 10:15:00,4870529,456,1
14101611,05.06.2025 10:30:00,4870603,456,1
14101611,05.06.2025 10:45:00,4870676,456,1
14101611,05.06.2025 11:00:00,4870745,456,1
14101611,05.06.2025 11:15:00,4870814,456,1
14101611,05.06.2025 11:30:00,4870887,456,1
14101611,05.06.2025 11:45:00,4870971,456,1
14101611,05.06.2025 12:00:00,4871065,456,1
14101611,05.06.2025 12:15:00,4871157,456,1
14101611,05.06.2025 12:30:00,4871247,456,1
14460572,05.06.2025 00:15:00,2425666,899,1
14460572,05.06.2025 00:30:00,2425715,899,1
14460572,05.06.2025 00:45:00,2425746,899,1
14460572,05.06.2025 01:00:00,2425781,899,1
14460572,05.06.2025 01:15:00,2425851,899,1
14460572,05.06.2025 01:30:00,2425897,899,1
14460572,05.06.2025 01:45:00,2425956,899,1
14460572,05.06.2025 02:00:00,2425987,899,1
14460572,05.06.2025 02:15:00,2426003,899,1
14460572,05.06.2025 02:30:00,2426028,899,1
14460572,05.06.2025 02:45:00,2426052,899,1
14460572,05.06.2025 03:00:00,2426089,899,1
14460572,05.06.2025 03:15:00,2426129,899,1
14460572,05.06.2025 03:30:00,2426169,899,1
14460572,05.06.2025 03:45:00,2426185,899,1
14460572,05.06.2025 04:00:00,2426204,899,1
14460572,05.06.2025 04:15:00,2426217,899,1
14460572,05.06.2025 04:30:00,2426237,899,1
14460572,05.06.2025 04:45:00,2426278,899,1
14460572,05.06.2025 05:00:00,2426319,899,1
14460572,05.06.2025 05:15:00,2426358,899,1
14460572,05.06.2025 05:30:00,2426369,899,1
14460572,05.06.2025 05:45:00,2426385,899,1
14460572,05.06.2025 06:00:00,2426400,899,1
14460572,05.06.2025 06:15:00,2426429,899,1
14460572,05.06.2025 06:30:00,2426500,899,1
14460572,05.06.2025 06:45:00,2426567,899,1
14460572,05.06.2025 07:00:00,2426629,899,1
14460572,05.06.2025 07:15:00,2426645,899,1
14460572,05.06.2025 07:30:00,2426671,899,1
14460572,05.06.2025 07:45:00,2426708,899,1
14460572,05.06.2025 08:00:00,2426770,899,1
14460572,05.06.2025 08:15:00,2426814,899,1
14460572,05.06.2025 08:30:00,2426851,899,1
14460572,05.06.2025 08:45:00,2426893,899,1
14460572,05.06.2025 09:00:00,2426949,899,1
14460572,05.06.2025 09:15:00,2426994,899,1
14460572,05.06.2025 09:30:00,2427016,899,1
14460572,05.06.2025 09:45:00,2427045,899,1
14460572,05.06.2025 10:00:00,2427069,899,1
14460572,05.06.2025 10:15:00,2427103,899,1
14460572,05.06.2025 10:30:00,2427156,899,1
14460572,05.06.2025 10:45:00,2427215,899,1
14460572,05.06.2025 11:00:00,2427258,899,1
14460572,05.06.2025 11:15:00,2427284,899,1
14460572,05.06.2025 11:30:00,2427308,899,1
14460572,05.06.2025 11:45:00,2427333,899,1
14460572,05.06.2025 12:00:00,2427398,899,1
14460311,05.06.2025 00:00:00,1380378,900,1
14101619,05.06.2025 06:30:00,6536287,10404,1
14101619,05.06.2025 06:45:00,6536372,10404,1
14101619,05.06.2025 07:00:00,6536458,10404,1
14101619,05.06.2025 07:15:00,6536557,10404,1
14101619,05.06.2025 07:30:00,6536649,10404,1
14101619,05.06.2025 07:45:00,6536731,10404,1
14101619,05.06.2025 08:00:00,6536814,10404,1
14101619,05.06.2025 08:15:00,6536902,10404,1
14101619,05.06.2025 08:30:00,6536981,10404,1
14101619,05.06.2025 08:45:00,6537056,10404,1
14101619,05.06.2025 09:00:00,6537142,10404,1
14101619,05.06.2025 09:15:00,6537214,10404,1
14101619,05.06.2025 09:30:00,6537265,10404,1
14101619,05.06.2025 09:45:00,6537324,10405,1
14101619,05.06.2025 10:00:00,6537387,10405,1
14101619,05.06.2025 10:15:00,6537434,10405,1
14101619,05.06.2025 10:30:00,6537458,10406,1
14101619,05.06.2025 10:45:00,6537491,10408,1
14101619,05.06.2025 11:00:00,6537513,10409,1
14101619,05.06.2025 11:15:00,6537534,10411,1
14101619,05.06.2025 11:30:00,6537554,10413,1
14101619,05.06.2025 11:45:00,6537578,10414,1
14101619,05.06.2025 12:00:00,6537591,10416,1
14101619,05.06.2025 12:15:00,6537600,10420,1
14101619,05.06.2025 12:30:00,6537617,10425,1
14462739,05.06.2025 00:00:00,83808,856,1
14101530,05.06.2025 06:30:00,9861144,456,1
14101530,05.06.2025 06:45:00,9861259,456,1
14101530,05.06.2025 07:00:00,9861377,456,1
14101530,05.06.2025 07:15:00,9861511,456,1
14101530,05.06.2025 07:30:00,9861646,456,1
14101530,05.06.2025 07:45:00,9861777,456,1
14101530,05.06.2025 08:00:00,9861922,456,1
14101530,05.06.2025 08:15:00,9862085,456,1
14101530,05.06.2025 08:30:00,9862273,456,1
14101530,05.06.2025 08:45:00,9862484,456,1
14101530,05.06.2025 09:00:00,9862676,456,1
14101530,05.06.2025 09:15:00,9862877,456,1
14101530,05.06.2025 09:30:00,9863088,456,1
14101530,05.06.2025 09:45:00,9863309,456,1
14101530,05.06.2025 10:00:00,9863548,456,1
14101530,05.06.2025 10:15:00,9863750,456,1
14101530,05.06.2025 10:30:00,9863948,456,1
14101530,05.06.2025 10:45:00,9864146,456,1
14101530,05.06.2025 11:00:00,9864365,456,1
14101530,05.06.2025 11:15:00,9864582,456,1
14101530,05.06.2025 11:30:00,9864808,456,1
14101530,05.06.2025 11:45:00,9865053,456,1
14101530,05.06.2025 12:00:00,9865274,456,1
14101530,05.06.2025 12:15:00,9865521,456,1
14101530,05.06.2025 12:30:00,9865742,456,1
14381704,05.06.2025 08:15:00,37055778,2994,1
14381704,05.06.2025 08:30:00,37056467,2994,1
14381704,05.06.2025 08:45:00,37057188,2994,1
14381704,05.06.2025 09:00:00,37057775,2994,1
14381704,05.06.2025 09:15:00,37058231,2994,1
14381704,05.06.2025 09:30:00,37058700,2994,1
14381704,05.06.2025 09:45:00,37059251,2994,1
14381704,05.06.2025 10:00:00,37059867,2994,1
14381704,05.06.2025 10:15:00,37060470,2994,1
14381704,05.06.2025 10:30:00,37060897,2994,1
14381704,05.06.2025 10:45:00,37061338,2994,1
14381704,05.06.2025 11:00:00,37062229,2994,1
14381704,05.06.2025 11:15:00,37063247,2994,1
14381704,05.06.2025 11:30:00,37064500,2994,1
14381704,05.06.2025 11:45:00,37065095,2994,1
14381704,05.06.2025 12:00:00,37065884,2994,1
14461953,05.06.2025 08:15:00,74137,899,1
14461953,05.06.2025 08:30:00,74152,899,1
14461953,05.06.2025 08:45:00,74166,899,1
14461953,05.06.2025 09:00:00,74178,899,1
14461953,05.06.2025 09:15:00,74190,899,1
14461953,05.06.2025 09:30:00,74202,899,1
14461953,05.06.2025 09:45:00,74213,899,1
14461953,05.06.2025 10:00:00,74224,899,1
14461953,05.06.2025 10:15:00,74236,899,1
14461953,05.06.2025 10:30:00,74249,899,1
14461953,05.06.2025 10:45:00,74261,899,1
14461953,05.06.2025 11:00:00,74273,899,1
14461953,05.06.2025 11:15:00,74285,899,1
14461953,05.06.2025 11:30:00,74297,899,1
14461953,05.06.2025 11:45:00,74308,899,1
14461953,05.06.2025 12:00:00,74319,899,1
14462836,05.06.2025 00:15:00,602923,1115,1
14462836,05.06.2025 00:30:00,602956,1115,1
14462836,05.06.2025 00:45:00,602987,1115,1
14462836,05.06.2025 01:00:00,603002,1115,1
14462836,05.06.2025 01:15:00,603002,1115,1
14462836,05.06.2025 01:30:00,603006,1115,1
14462836,05.06.2025 01:45:00,603007,1115,1
14462836,05.06.2025 02:00:00,603008,1115,1
14462836,05.06.2025 02:15:00,603015,1115,1
14462836,05.06.2025 02:30:00,603047,1115,1
14462836,05.06.2025 02:45:00,603077,1115,1
14462836,05.06.2025 03:00:00,603105,1115,1
14462836,05.06.2025 03:15:00,603135,1115,1
14462836,05.06.2025 03:30:00,603137,1115,1
14462836,05.06.2025 03:45:00,603137,1115,1
14462836,05.06.2025 04:00:00,603137,1115,1
14462836,05.06.2025 04:15:00,603137,1115,1
14462836,05.06.2025 04:30:00,603137,1115,1
14462836,05.06.2025 04:45:00,603159,1115,1
14462836,05.06.2025 05:00:00,603193,1115,1
14462836,05.06.2025 05:15:00,603223,1115,1
14462836,05.06.2025 05:30:00,603251,1115,1
14462836,05.06.2025 05:45:00,603270,1115,1
14462836,05.06.2025 06:00:00,603270,1115,1
14462836,05.06.2025 06:15:00,603270,1115,1
14462836,05.06.2025 06:30:00,603273,1115,1
14462836,05.06.2025 06:45:00,603273,1115,1
14462836,05.06.2025 07:00:00,603274,1115,1
14462836,05.06.2025 07:15:00,603306,1115,1
14462836,05.06.2025 07:30:00,603334,1115,1
14462836,05.06.2025 07:45:00,603362,1115,1
14462836,05.06.2025 08:00:00,603389,1115,1
14462836,05.06.2025 08:15:00,603390,1115,1
14462836,05.06.2025 08:30:00,603390,1115,1
14462836,05.06.2025 08:45:00,603390,1115,1
14462836,05.06.2025 09:00:00,603391,1115,1
14462836,05.06.2025 09:15:00,603391,1115,1
14462836,05.06.2025 09:30:00,603414,1115,1
14462836,05.06.2025 09:45:00,603443,1115,1
14462836,05.06.2025 10:00:00,603472,1115,1
14462836,05.06.2025 10:15:00,603499,1115,1
14462836,05.06.2025 10:30:00,603527,1115,1
14462836,05.06.2025 10:45:00,603528,1115,1
14462836,05.06.2025 11:00:00,603528,1115,1
14462836,05.06.2025 11:15:00,603528,1115,1
14462836,05.06.2025 11:30:00,603530,1115,1
14462836,05.06.2025 11:45:00,603560,1115,1
14462836,05.06.2025 12:00:00,603590,1115,1
14462746,05.06.2025 00:00:00,548371,897,1
14461138,05.06.2025 00:00:00,1545922,899,1
14461264,05.06.2025 00:15:00,2698832,900,1
14461264,05.06.2025 00:30:00,2698886,900,1
14461264,05.06.2025 00:45:00,2698897,900,1
14461264,05.06.2025 01:00:00,2698931,900,1
14461264,05.06.2025 01:15:00,2698976,900,1
14461264,05.06.2025 01:30:00,2698991,900,1
14461264,05.06.2025 01:45:00,2699025,900,1
14461264,05.06.2025 02:00:00,2699033,900,1
14461264,05.06.2025 02:15:00,2699053,900,1
14461264,05.06.2025 02:30:00,2699118,900,1
14461264,05.06.2025 02:45:00,2699123,900,1
14461264,05.06.2025 03:00:00,2699147,900,1
14461264,05.06.2025 03:15:00,2699173,900,1
14461264,05.06.2025 03:30:00,2699209,900,1
14461264,05.06.2025 03:45:00,2699239,900,1
14461264,05.06.2025 04:00:00,2699258,900,1
14461264,05.06.2025 04:15:00,2699266,900,1
14461264,05.06.2025 04:30:00,2699300,900,1
14461264,05.06.2025 04:45:00,2699315,900,1
14461264,05.06.2025 05:00:00,2699361,900,1
14461264,05.06.2025 05:15:00,2699394,900,1
14461264,05.06.2025 05:30:00,2699400,900,1
14461264,05.06.2025 05:45:00,2699420,900,1
14461264,05.06.2025 06:00:00,2699448,900,1
14461264,05.06.2025 06:15:00,2699464,900,1
14461264,05.06.2025 06:30:00,2699509,900,1
14461264,05.06.2025 06:45:00,2699533,900,1
14461264,05.06.2025 07:00:00,2699538,900,1
14461264,05.06.2025 07:15:00,2699568,900,1
14461264,05.06.2025 07:30:00,2699606,900,1
14461264,05.06.2025 07:45:00,2699698,900,1
14461264,05.06.2025 08:00:00,2699710,900,1
14461264,05.06.2025 08:15:00,2699748,900,1
14461264,05.06.2025 08:30:00,2699816,900,1
14461264,05.06.2025 08:45:00,2699850,900,1
14461264,05.06.2025 09:00:00,2699885,900,1
14461264,05.06.2025 09:15:00,2699944,900,1
14461264,05.06.2025 09:30:00,2699949,900,1
14461264,05.06.2025 09:45:00,2699981,900,1
14461264,05.06.2025 10:00:00,2700036,900,1
14461264,05.06.2025 10:15:00,2700041,900,1
14461264,05.06.2025 10:30:00,2700073,900,1
14461264,05.06.2025 10:45:00,2700122,900,1
14461264,05.06.2025 11:00:00,2700131,900,1
14461264,05.06.2025 11:15:00,2700164,900,1
14461264,05.06.2025 11:30:00,2700206,900,1
14461264,05.06.2025 11:45:00,2700221,900,1
14461264,05.06.2025 12:00:00,2700254,900,1
14462900,05.06.2025 06:15:00,838726,898,1
14462900,05.06.2025 06:30:00,838746,898,1
14462900,05.06.2025 06:45:00,838764,898,1
14462900,05.06.2025 07:00:00,838794,898,1
14462900,05.06.2025 07:15:00,838825,898,1
14462900,05.06.2025 07:30:00,838850,898,1
14462900,05.06.2025 07:45:00,838867,898,1
14462900,05.06.2025 08:00:00,838884,898,1
14462900,05.06.2025 08:15:00,838903,898,1
14462900,05.06.2025 08:30:00,838935,898,1
14462900,05.06.2025 08:45:00,838966,898,1
14462900,05.06.2025 09:00:00,838991,898,1
14462900,05.06.2025 09:15:00,839008,898,1
14462900,05.06.2025 09:30:00,839025,898,1
14462900,05.06.2025 09:45:00,839051,898,1
14462900,05.06.2025 10:00:00,839086,898,1
14462900,05.06.2025 10:15:00,839119,898,1
14462900,05.06.2025 10:30:00,839145,898,1
14462900,05.06.2025 10:45:00,839163,898,1
14462900,05.06.2025 11:00:00,839187,898,1
14462900,05.06.2025 11:15:00,839218,898,1
14462900,05.06.2025 11:30:00,839246,898,1
14462900,05.06.2025 11:45:00,839262,898,1
14462900,05.06.2025 12:00:00,839265,898,1
14461231,05.06.2025 06:15:00,1682877,898,1
14461231,05.06.2025 06:30:00,1682902,898,1
14461231,05.06.2025 06:45:00,1682927,898,1
14461231,05.06.2025 07:00:00,1682953,898,1
14461231,05.06.2025 07:15:00,1682978,898,1
14461231,05.06.2025 07:30:00,1683003,898,1
14461231,05.06.2025 07:45:00,1683029,898,1
14461231,05.06.2025 08:00:00,1683053,898,1
14461231,05.06.2025 08:15:00,1683078,898,1
14461231,05.06.2025 08:30:00,1683103,898,1
14461231,05.06.2025 08:45:00,1683129,898,1
14461231,05.06.2025 09:00:00,1683154,898,1
14461231,05.06.2025 09:15:00,1683184,898,1
14461231,05.06.2025 09:30:00,1683383,898,1
14461231,05.06.2025 09:45:00,1683413,898,1
14461231,05.06.2025 10:00:00,1683443,898,1
14461231,05.06.2025 10:15:00,1683535,898,1
14461231,05.06.2025 10:30:00,1683620,898,1
14461231,05.06.2025 10:45:00,1683654,898,1
14461231,05.06.2025 11:00:00,1683693,898,1
14461231,05.06.2025 11:15:00,1683831,898,1
