Meter,Clock (8:0-0:1.0.0*255:2),Active Energy Import (3:1-0:1.8.0*255:2),Active Energy Export (3:1-0:2.8.0*255:2),TransFullCoef
13836498,06.06.2025 06:15:00,6552111,469,1
13836498,06.06.2025 06:30:00,6552176,469,1
13836498,06.06.2025 06:45:00,6552246,469,1
13836498,06.06.2025 07:00:00,6552322,469,1
13836498,06.06.2025 07:15:00,6552397,469,1
13836498,06.06.2025 07:30:00,6552482,469,1
13836498,06.06.2025 07:45:00,6552585,469,1
13836498,06.06.2025 08:00:00,6552707,469,1
13836498,06.06.2025 08:15:00,6552875,469,1
13836498,06.06.2025 08:30:00,6553053,469,1
13836498,06.06.2025 08:45:00,6553222,469,1
13836498,06.06.2025 09:00:00,6553401,469,1
13836498,06.06.2025 09:15:00,6553572,469,1
13836498,06.06.2025 09:30:00,6553746,469,1
13836498,06.06.2025 09:45:00,6553927,469,1
13836498,06.06.2025 10:00:00,6554138,469,1
13836498,06.06.2025 10:15:00,6554339,469,1
13836498,06.06.2025 10:30:00,6554515,469,1
13836498,06.06.2025 10:45:00,6554687,469,1
13836498,06.06.2025 11:00:00,6554872,469,1
13836498,06.06.2025 11:15:00,6555063,469,1
13836498,06.06.2025 11:30:00,6555256,469,1
13836498,06.06.2025 11:45:00,6555444,469,1
13836498,06.06.2025 12:00:00,6555643,469,1
14101611,06.06.2025 06:30:00,4878129,456,1
14101611,06.06.2025 06:45:00,4878212,456,1
14101611,06.06.2025 07:00:00,4878300,456,1
14101611,06.06.2025 07:15:00,4878395,456,1
14101611,06.06.2025 07:30:00,4878483,456,1
14101611,06.06.2025 07:45:00,4878569,456,1
14101611,06.06.2025 08:00:00,4878649,456,1
14101611,06.06.2025 08:15:00,4878731,456,1
14101611,06.06.2025 08:30:00,4878805,456,1
14101611,06.06.2025 08:45:00,4878876,456,1
14101611,06.06.2025 09:00:00,4878946,456,1
14101611,06.06.2025 09:15:00,4879017,456,1
14101611,06.06.2025 09:30:00,4879092,456,1
14101611,06.06.2025 09:45:00,4879158,456,1
14101611,06.06.2025 10:00:00,4879228,456,1
14101611,06.06.2025 10:15:00,4879307,456,1
14101611,06.06.2025 10:30:00,4879394,456,1
14101611,06.06.2025 10:45:00,4879487,456,1
14101611,06.06.2025 11:00:00,4879584,456,1
14101611,06.06.2025 11:15:00,4879674,456,1
14101611,06.06.2025 11:30:00,4879759,456,1
14101611,06.06.2025 11:45:00,4879841,456,1
14101611,06.06.2025 12:00:00,4879931,456,1
14101611,06.06.2025 12:15:00,4880021,456,1
14101619,06.06.2025 06:30:00,6544752,10498,1
14101619,06.06.2025 06:45:00,6544832,10498,1
14101619,06.06.2025 07:00:00,6544923,10498,1
14101619,06.06.2025 07:15:00,6545020,10498,1
14101619,06.06.2025 07:30:00,6545099,10498,1
14101619,06.06.2025 07:45:00,6545179,10498,1
14101619,06.06.2025 08:00:00,6545248,10498,1
14101619,06.06.2025 08:15:00,6545317,10498,1
